username,naziv_firme,paket,grad,kanton,oglasa_snimak,oglasa_api,oglasa_vozila,udio_vozila,shop_category_id,klasifikacija,prolaz,obrazlozenje,link
AirMax_ACTIOOON,AirMax_ACTIOOON,Platinum,,Nepoznato,587,587,0,0,18,nije_auto,prvi,shop_category_id nije 17 i histogram nema dominantnu kategoriju 928 (auto dijelovi); nema veze sa automobilima,https://olx.ba/shops/AirMax_ACTIOOON/aktivni
Alex_prnjat,Banja Luka,Platinum,,Regija Banja Luka,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/Alex_prnjat/aktivni
Allservice,All service d.o.o.,Platinum,,Nepoznato,5,5,0,0,2,nije_auto,prvi,shop_category_id nije 17 i histogram nema dominantnu kategoriju 928 (auto dijelovi); nema veze sa automobilima,https://olx.ba/shops/Allservice/aktivni
AlphaAgency,AlphaAgency,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/AlphaAgency/aktivni
Amadej_G,Amadej_G,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/Amadej_G/aktivni
AMKGradnja,AMK Gradnja d.o.o.,Platinum,,Nepoznato,1,1,0,0,18,nije_auto,prvi,shop_category_id nije 17 i histogram nema dominantnu kategoriju 928 (auto dijelovi); nema veze sa automobilima,https://olx.ba/shops/AMKGradnja/aktivni
Andela_nails,Andela_nails,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/Andela_nails/aktivni
antonioveliki,Fis,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/antonioveliki/aktivni
Auto_Exclusive,AUTO EXCLUSIVE d.o.o.,Platinum,,Nepoznato,3,0,0,0,17,neaktivan,prvi,,https://olx.ba/shops/Auto_Exclusive/aktivni
BalkanMediaTV,BalkanMediaTV,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/BalkanMediaTV/aktivni
Bambivolani,Autmakans,Platinum,,Nepoznato,52,0,0,0,17,neaktivan,prvi,,https://olx.ba/shops/Bambivolani/aktivni
Besimagrilec22,Kingsley,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/Besimagrilec22/aktivni
BFLAPTOPS,BFLAPTOPS,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/BFLAPTOPS/aktivni
BHPosteExpress,Olx,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/BHPosteExpress/aktivni
BlueAngel77,Car Detailing 77,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/BlueAngel77/aktivni
CapitolEstateTr,Capitol Estate Nekretnine u Turskoj,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/CapitolEstateTr/aktivni
Daniiii_123,Daniiii_123,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/Daniiii_123/aktivni
David_jurk013,Technika,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/David_jurk013/aktivni
daviddddmmmk,Nmmnl,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/daviddddmmmk/aktivni
domuturskoj,domuturskoj,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/domuturskoj/aktivni
Edvin123455,Balkawom Fashion,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/Edvin123455/aktivni
ELVISbiba,EM-T PROJEKTI,Platinum,,Nepoznato,21,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/ELVISbiba/aktivni
Emrah_0,Nzm,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/Emrah_0/aktivni
EuromixBeton,EuromixBeton,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/EuromixBeton/aktivni
EVERPRINT,EVERPRINT,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/EVERPRINT/aktivni
EXYUMedia,XOTT,Platinum,,Nepoznato,0,1,0,0,,nije_auto,prvi,shop_category_id nije 17 i histogram nema dominantnu kategoriju 928 (auto dijelovi); nema veze sa automobilima,https://olx.ba/shops/EXYUMedia/aktivni
Felizardo,Felizardo,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/Felizardo/aktivni
filip323161,Filip Novak,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/filip323161/aktivni
Ginat67,Ginat67,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/Ginat67/aktivni
GlacierTrucks,Glacier doo Šimanovci,Platinum,,Nepoznato,62,64,64,1,1,salon,prvi,,https://olx.ba/shops/GlacierTrucks/aktivni
golf5343,golf 5,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/golf5343/aktivni
Goran_Aleksic,Goci,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/Goran_Aleksic/aktivni
Hisense_ba,Hisense_ba,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/Hisense_ba/aktivni
IC_Putnik,IC Putnik,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/IC_Putnik/aktivni
Ivan8790,Ivan8790,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/Ivan8790/aktivni
Ivicasanda,Ivicasanda,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/Ivicasanda/aktivni
Laser_solutions,Fiber laseri - Laser solutions,Platinum,,Nepoznato,8,8,0,0,18,nije_auto,prvi,shop_category_id nije 17 i histogram nema dominantnu kategoriju 928 (auto dijelovi); nema veze sa automobilima,https://olx.ba/shops/Laser_solutions/aktivni
marting650,Audi,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/marting650/aktivni
meridian365,meridian365,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/meridian365/aktivni
mihajlok276,Mihajlo,Platinum,,Nepoznato,0,0,0,0,1,neaktivan,prvi,,https://olx.ba/shops/mihajlok276/aktivni
mirels927,Xkdkdkj,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/mirels927/aktivni
Mr123dr,Mr123dr,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/Mr123dr/aktivni
nedeljko593,Nedeljko,Platinum,,Nepoznato,0,0,0,0,1,neaktivan,prvi,,https://olx.ba/shops/nedeljko593/aktivni
NINACO,NINACO,Platinum,,Nepoznato,20,19,19,1,1,salon,prvi,,https://olx.ba/shops/NINACO/aktivni
noklaa,Huso prom,Platinum,,Nepoznato,1,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/noklaa/aktivni
novkovic_81,Mitar.n1234,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/novkovic_81/aktivni
Nurtruck,Trgovija,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/Nurtruck/aktivni
Opereta,Opereta,Platinum,,Nepoznato,0,0,0,0,2,neaktivan,prvi,,https://olx.ba/shops/Opereta/aktivni
Opusnekretnine,OPUS NEKRETNINE d.o.o.,Platinum,,Nepoznato,152,148,0,0,2,nije_auto,prvi,shop_category_id nije 17 i histogram nema dominantnu kategoriju 928 (auto dijelovi); nema veze sa automobilima,https://olx.ba/shops/Opusnekretnine/aktivni
PASHA_911,PASHA PRODUCTS,Platinum,,Nepoznato,3,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/PASHA_911/aktivni
pb1962WAR,pb1962WAR,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/pb1962WAR/aktivni
PBM1962,PBM1962,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/PBM1962/aktivni
prcac89,Hugobosss,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/prcac89/aktivni
ProsService,ProsService,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/ProsService/aktivni
Sakalas1,Sakalas1,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/Sakalas1/aktivni
shoptrenerke,Sportshop,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/shoptrenerke/aktivni
STARAUTO,STARAUTO,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/STARAUTO/aktivni
stefan12e4567_,Delta Kabel,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/stefan12e4567_/aktivni
stefkara123,stefkara123,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/stefkara123/aktivni
Susic_sa_2_c,Susic_sa_2_c,Platinum,,Nepoznato,0,0,0,0,,neaktivan,prvi,,https://olx.ba/shops/Susic_sa_2_c/aktivni
thisepr,Olx,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/thisepr/aktivni
Top_Sales,Top_Sales,Platinum,,Nepoznato,0,0,0,0,18,neaktivan,prvi,,https://olx.ba/shops/Top_Sales/aktivni
