id,parent_id,level,path,name,brand_required,model_required,has_models,show_condition,listing_fee,base_listing_price
1,,1,Vozila,Vozila,0,0,0,1,0,0
18,1,2,Vozila > Automobili,Automobili,0,0,0,1,70,18
21,1,2,Vozila > Motocikli,Motocikli,0,0,0,1,70,13
20,1,2,Vozila > Teretna vozila,Teretna vozila,0,0,0,1,70,14
22,1,2,Vozila > Bicikli,Bicikli,0,0,0,1,0,10
426,1,2,Vozila > Nautika,Nautika,0,0,0,1,0,7
883,1,2,Vozila > Kamperi,Kamperi,0,0,0,1,0,5
884,1,2,Vozila > Prikolice,Prikolice,0,0,0,1,0,6
1040,1,2,Vozila > Autobusi i minibusi,Autobusi i minibusi,0,0,0,1,70,4
2457,1,2,Vozila > ATV / UTV / Quad,ATV / UTV / Quad,0,0,0,1,70,16
2127,1,2,Vozila > Motorne sanke,Motorne sanke,0,0,0,1,50,8
2,,1,Nekretnine,Nekretnine,0,0,0,0,0,0
23,2,2,Nekretnine > Stanovi i apartmani,Stanovi i apartmani,0,0,0,0,190,18
2668,2,2,Nekretnine > Stan na dan,Stan na dan,0,0,0,0,190,18
24,2,2,Nekretnine > Kuće,Kuće,0,0,0,0,190,19
29,2,2,Nekretnine > Zemljišta,Zemljišta,0,0,0,0,190,14
25,2,2,Nekretnine > Poslovni prostori,Poslovni prostori,0,0,0,0,190,18
26,2,2,Nekretnine > Vikendice,Vikendice,0,0,0,0,190,17
30,2,2,Nekretnine > Garaže,Garaže,0,0,0,0,60,9
1193,2,2,Nekretnine > Montažni objekti,Montažni objekti,0,0,0,1,60,17
2672,2,2,Nekretnine > Skladišta i hale,Skladišta i hale,0,0,0,0,60,12
28,2,2,Nekretnine > Sobe,Sobe,0,0,0,0,45,12
270,2,2,Nekretnine > Ostale nekretnine,Ostale nekretnine,0,0,0,1,50,10
2159,,1,Servisi i usluge,Servisi i usluge,0,0,0,0,0,5
2160,2159,2,Servisi i usluge > Auto moto i nautika,Auto moto i nautika,0,0,0,0,35,5
2165,2160,3,Servisi i usluge > Auto moto i nautika > Auto salon,Auto salon,0,0,0,0,49,6
2166,2160,3,Servisi i usluge > Auto moto i nautika > Auto servis,Auto servis,0,0,0,0,49,5
2173,2160,3,Servisi i usluge > Auto moto i nautika > Autoelektričarske usluge,Autoelektričarske usluge,0,0,0,0,49,6
2162,2160,3,Servisi i usluge > Auto moto i nautika > Autolimarske usluge,Autolimarske usluge,0,0,0,0,49,6
2161,2160,3,Servisi i usluge > Auto moto i nautika > Automehaničarske usluge,Automehaničarske usluge,0,0,0,0,49,5
2168,2160,3,Servisi i usluge > Auto moto i nautika > Usluge autopranja i detailing,Usluge autopranja i detailing,0,0,0,0,49,6
2164,2160,3,Servisi i usluge > Auto moto i nautika > Autopresvlake i usluge tapetiranja,Autopresvlake i usluge tapetiranja,0,0,0,0,49,6
2336,2160,3,Servisi i usluge > Auto moto i nautika > Autostaklarske usluge,Autostaklarske usluge,0,0,0,0,49,6
2174,2160,3,Servisi i usluge > Auto moto i nautika > Autotuning usluge,Autotuning usluge,0,0,0,0,49,5
2169,2160,3,Servisi i usluge > Auto moto i nautika > Moto servis,Moto servis,0,0,0,0,49,5
